gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/legacyvgc-gen8vgc2021series10-8513,Chochetegoesbrr,"Whimsicott, L50, M","Calyrex-Shadow, L50","Indeedee-F, L50, F","Ferrothorn, L50, M","Incineroar, L50, F","Urshifu-*, L50, F",True
/gen8ou-1369209242,JSJSJSJSJJS,Porygon2,"Togekiss, F","Aegislash, M","Lapras, F","Cursola, M","Clefairy, F",False
/gen8uu-1369210385,Lumberjack sion 94,"Pelipper, F","Thundurus, M","Nidoking, M","Aegislash, F",Rotom-Wash,"Crawdaunt, F",False
/legacyvgc-gen8vgc2021series10-8526,xPenguinVGC,"Regieleki, L50","Gothitelle, L50, M","Urshifu-*, L50, M","Rillaboom, L50, M","Zacian-*, L50","Zapdos-Galar, L50",True
/gen8nationaldexmonotype-1369210253,evreyfus,"Armaldo, F","Scizor, F",Buzzwole,"Araquanid, F","Yanmega, M","Galvantula, M",False
/gen8ou-1369210574,LT81YL Makicchi,"Dragapult, F","Urshifu-*, F","Heatran, M","Toxapex, M","Slowking-Galar, M","Landorus-Therian, M",False
/gen8battlestadiumsingles-1369209843,6527love,"Snorlax, L50, M","Tapu Fini, L50","Landorus-Therian, L50, M","Slowking-Galar, L50, F","Celesteela, L50","Goodra, L50, F",False
/legacyvgc-gen8vgc2021series10-8501,stonestone,"Thundurus, L50, M","Urshifu-*, L50, F","Zacian-*, L50","Incineroar, L50, M","Regieleki, L50","Landorus, L50, M",False
/gen8nationaldexmonotype-1369205546,Giannischampion,"Tyranitar, M",Stakataka,Diancie,"Lycanroc, F","Cradily, M",Nihilego,False
/gen8nationaldexag-1369208668,Indris93,"Lucario, M","Typhlosion, M","Weavile, M","Milotic, F","Zangoose, M","Snorlax, M",False
/gen8nu-1369208753,Eiwad,Rotom-Mow,"Pincurchin, F","Raichu-Alola, F",Bronzong,"Absol, M","Duraludon, F",False
/gen8uu-1369206825,Eos from phoros,Rotom-Heat,"Nidoking, M","Jolteon, M","Hatterene, F",Tapu Bulu,Celesteela,False
/legacyvgc-gen8vgc2021series10-8468,xPenguinVGC,"Regieleki, L50","Gothitelle, L50, M","Urshifu-*, L50, M","Rillaboom, L50, F","Zacian-*, L50","Zapdos-Galar, L50",True
/gen8ou-1369209015,Nara naqa lol,"Toxapex, F","Clefable, M","Quagsire, F","Mandibuzz, F","Chansey, F",Rotom-Heat,True
/gen3ou-1369208397,SimperEpicAmpharos,,,,,,,False
/gen3ou-1369208397,Asylum1312,,,,,,,True
/gen6ou-1369207402,questedeadmeat,"Medicham, F",Ditto,"Bisharp, F","Gliscor, M","Alakazam, F","Weavile, M",False
